Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
333,2279,2/22/2010,Medium,49,4577.18,0,Delivery Truck,205.83,90.98,30,Rob Haberlin,British Columbia,West,Corporate,Furniture,Chairs & Chairmats,Office Star - Task Chair with Contemporary Loop Arms,Jumbo Drum,0.61,2/23/2010
334,2279,2/22/2010,Medium,39,845.9,0.04,Regular Air,52.53,20.98,5.42,Rob Haberlin,British Columbia,West,Corporate,Office Supplies,Storage & Organization,Acco Perma® 3000 Stacking Storage Drawers,Small Box,0.66,2/24/2010
353,2465,6/23/2011,Critical,28,1082.45,0.04,Regular Air,271.87,39.48,1.99,Rob Haberlin,British Columbia,West,Consumer,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,6/25/2011
361,2530,3/20/2009,Medium,9,23.46,0.06,Regular Air,4.58,2.61,0.5,Rob Haberlin,British Columbia,West,Corporate,Office Supplies,Labels,Avery 479,Small Box,0.39,3/22/2009
431,2883,1/22/2011,Low,34,2154.34,0.1,Regular Air,177.66,64.98,6.88,Rob Haberlin,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System,Small Box,0.73,1/24/2011
485,3362,7/28/2011,Low,40,1699.52,0.04,Regular Air,734.75,40.98,1.99,Christina Vanderzanden,British Columbia,West,Small Business,Technology,Computer Peripherals,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Small Pack,0.44,8/1/2011
486,3362,7/28/2011,Low,50,760.85,0.03,Regular Air,-109.1,15.14,4.53,Christina Vanderzanden,British Columbia,West,Small Business,Office Supplies,Storage & Organization,Eldon® Gobal File Keepers,Small Box,0.81,8/6/2011
739,5318,4/3/2010,High,8,1042.25,0.08,Regular Air,195.16,131.12,0.99,Matt Collins,British Columbia,West,Consumer,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece® HOMEOFFICE Power Control Center,Small Box,0.55,4/5/2010
740,5318,4/3/2010,High,29,5010.7415,0.03,Express Air,1196.37,200.99,4.2,Matt Collins,British Columbia,West,Consumer,Technology,Telephones and Communication,2160i,Small Box,0.59,4/4/2010
835,5988,11/21/2010,Not Specified,40,19109.61,0.1,Express Air,-379.29,499.99,24.49,Sanjit Chand,British Columbia,West,Home Office,Technology,Copiers and Fax,Sharp AL-1530CS Digital Copier,Large Box,0.36,11/22/2010
851,6115,9/11/2010,Medium,25,409.08,0.1,Regular Air,78.86,17.78,5.03,Matt Collins,British Columbia,West,Consumer,Furniture,Office Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Small Box,0.54,9/12/2010
882,6337,8/31/2011,Not Specified,48,3397.72,0.01,Regular Air,-912.08,70.71,37.58,Justin Knight,British Columbia,West,Corporate,Furniture,Office Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Wrap Bag,0.78,9/2/2011
883,6337,8/31/2011,Not Specified,1,449.42,0.07,Delivery Truck,-261.61,376.13,85.63,Justin Knight,British Columbia,West,Corporate,Furniture,Tables,Bretford Rectangular Conference Table Tops,Jumbo Box,0.74,9/1/2011
895,6434,6/7/2009,High,13,59.58,0.07,Regular Air,14.49,4.76,0.88,Rob Haberlin,British Columbia,West,Corporate,Office Supplies,Paper,Wirebound Voice Message Log Book,Wrap Bag,0.39,6/7/2009
989,7136,3/22/2009,High,17,642.9,0.07,Regular Air,88.72,39.48,1.99,Lena Cacioppo,British Columbia,West,Home Office,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,3/24/2009
990,7136,3/22/2009,High,9,47.28,0,Regular Air,17.05,4.91,0.5,Lena Cacioppo,British Columbia,West,Home Office,Office Supplies,Labels,Avery 493,Small Box,0.36,3/24/2009
1029,7489,9/30/2010,Critical,38,6900.13,0.01,Delivery Truck,552.97,180.98,23.58,Kimberly Carter,British Columbia,West,Home Office,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Jumbo Box,0.74,10/3/2010
1083,7968,9/15/2010,Low,10,1449.21,0.06,Delivery Truck,-270,150.98,30,Gene Hale,British Columbia,West,Consumer,Furniture,Chairs & Chairmats,Novimex Swivel Fabric Task Chair,Jumbo Drum,0.74,9/15/2010
1122,8227,1/10/2010,Not Specified,32,162.25,0.05,Express Air,-43.21,4.77,2.39,Christina Vanderzanden,British Columbia,West,Small Business,Technology,Computer Peripherals,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Small Pack,0.72,1/11/2010
1255,9123,6/26/2010,Critical,27,384.9,0.07,Express Air,-108.28,14.03,9.37,Matt Collins,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Project Tote Personal File,Small Box,0.56,6/27/2010
1339,9792,7/23/2011,Low,14,84.09,0.02,Regular Air,-73.14,5.4,7.78,Sally Knutson,British Columbia,West,Consumer,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37,7/23/2011
1352,9860,10/10/2010,Critical,43,319.69,0,Regular Air,-73.66,7.28,3.52,Kimberly Carter,British Columbia,West,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Small Pack,0.68,10/11/2010
1423,10310,2/5/2009,Low,48,139.86,0.07,Regular Air,9.59,2.88,1.01,Christina Vanderzanden,British Columbia,West,Small Business,Office Supplies,Pens & Art Supplies,"Sanford Colorific Colored Pencils, 12/Box",Wrap Bag,0.55,2/9/2009
1424,10310,2/5/2009,Low,6,926.585,0.1,Regular Air,-655.42,195.99,3.99,Christina Vanderzanden,British Columbia,West,Small Business,Technology,Telephones and Communication,R380,Small Box,0.58,2/12/2009
1436,10369,11/9/2011,Low,4,27.34,0.06,Regular Air,-12.38,5.78,4.96,Kimberly Carter,British Columbia,West,Home Office,Office Supplies,Paper,Xerox 1899,Small Box,0.36,11/11/2011
1437,10369,11/9/2011,Low,23,683.68,0,Regular Air,-95.54,28.48,8.99,Kimberly Carter,British Columbia,West,Home Office,Technology,Computer Peripherals,"Imation IBM Formatted Diskettes, 100/Pack",Small Pack,0.7,11/14/2011
1486,10692,7/26/2009,Low,26,100.41,0.04,Regular Air,-69.91,3.57,4.17,Rob Haberlin,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Barrel Sharpener,Small Pack,0.59,7/28/2009
1487,10692,7/26/2009,Low,48,8101.9875,0.05,Regular Air,2369.84,200.99,4.2,Rob Haberlin,British Columbia,West,Corporate,Technology,Telephones and Communication,2160i,Small Box,0.59,7/30/2009
1488,10692,7/26/2009,Low,8,1313.811,0.07,Regular Air,-457.16,195.99,8.99,Rob Haberlin,British Columbia,West,Corporate,Technology,Telephones and Communication,A1228,Small Box,0.58,7/26/2009
1596,11553,4/18/2009,Medium,28,1350.34,0.1,Express Air,-517.17,52.99,19.99,Justin Knight,British Columbia,West,Corporate,Office Supplies,Storage & Organization,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Small Box,0.81,4/19/2009
1597,11553,4/18/2009,Medium,8,861.26,0.07,Delivery Truck,-429.86,100.98,57.38,Justin Knight,British Columbia,West,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,4/21/2009
1598,11553,4/18/2009,Medium,20,1531.411,0.03,Regular Air,365.42,85.99,0.99,Justin Knight,British Columbia,West,Corporate,Technology,Telephones and Communication,Accessory34,Wrap Bag,0.55,4/20/2009
1626,11776,2/24/2012,Low,40,57.24,0.04,Express Air,-14.1,1.26,0.7,Christina Vanderzanden,British Columbia,West,Small Business,Office Supplies,Rubber Bands,Bagged Rubber Bands,Wrap Bag,0.81,2/24/2012
1631,11782,7/28/2012,Low,46,247.21,0.02,Regular Air,-63.72,4.98,4.75,Marina Lichtenstein,British Columbia,West,Corporate,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,8/2/2012
1632,11782,7/28/2012,Low,27,1541.781,0.07,Regular Air,14.35,66.99,13.99,Marina Lichtenstein,British Columbia,West,Corporate,Technology,Telephones and Communication,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Medium Box,0.6,8/4/2012
1690,12199,12/14/2011,Low,2,19,0.01,Regular Air,-10.73,6.54,5.27,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36,12/19/2011
1691,12199,12/14/2011,Low,50,8289.51,0.01,Regular Air,3051.62,155.06,7.07,Justin Knight,British Columbia,West,Corporate,Office Supplies,Storage & Organization,"Dual Level, Single-Width Filing Carts",Small Box,0.59,12/18/2011
2004,14275,6/13/2010,Low,20,42.22,0.04,Regular Air,-7.73,2.08,1.49,Gene Hale,British Columbia,West,Consumer,Office Supplies,Binders and Binder Accessories,Economy Binders,Small Box,0.36,6/15/2010
2005,14275,6/13/2010,Low,4,653.44,0.06,Delivery Truck,-187.75,160.98,30,Gene Hale,British Columbia,West,Consumer,Furniture,Chairs & Chairmats,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Jumbo Drum,0.62,6/15/2010
2043,14535,10/1/2010,Not Specified,22,245.96,0.03,Regular Air,-33.82,11.29,5.03,Gene Hale,British Columbia,West,Consumer,Office Supplies,Storage & Organization,X-Rack™ File for Hanging Folders,Small Box,0.59,10/2/2010
2145,15329,4/27/2012,High,34,1014.87,0.04,Express Air,319.52,29.89,1.99,Rob Haberlin,British Columbia,West,Consumer,Technology,Computer Peripherals,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Small Pack,0.5,4/27/2012
2169,15621,9/24/2011,Critical,18,35.51,0.02,Express Air,-13.95,1.68,1.57,Gene Hale,British Columbia,West,Consumer,Office Supplies,Pens & Art Supplies,Newell 323,Wrap Bag,0.59,9/25/2011
2170,15621,9/24/2011,Critical,39,1105.66,0.02,Regular Air,-136.2,28.28,13.99,Gene Hale,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Eldon Portable Mobile Manager,Medium Box,0.58,9/24/2011
2452,17826,6/30/2012,High,18,78.93,0.04,Regular Air,-88.61,3.89,7.01,Michelle Arnett,British Columbia,West,Home Office,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,7/1/2012
2463,17926,11/10/2011,Critical,37,608.33,0.02,Regular Air,-70.04,15.31,8.78,Sally Knutson,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Small Box,0.57,11/12/2011
2513,18247,11/5/2009,Not Specified,20,155.8,0,Regular Air,27.22,7.59,4,Rob Haberlin,British Columbia,West,Corporate,Furniture,Office Furnishings,"Master Giant Foot® Doorstop, Safety Yellow",Wrap Bag,0.42,11/6/2009
2551,18471,2/19/2009,Not Specified,37,226.65,0,Regular Air,46.41,5.98,0.96,Justin Knight,British Columbia,West,Corporate,Office Supplies,Pens & Art Supplies,Newell 315,Wrap Bag,0.6,2/20/2009
2552,18471,2/19/2009,Not Specified,4,10.96,0.02,Regular Air,-8.02,2.08,2.56,Justin Knight,British Columbia,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Kleencut® Forged Office Shears by Acme United Corporation,Small Pack,0.55,2/20/2009
2553,18471,2/19/2009,Not Specified,29,185.61,0.02,Regular Air,-47.12,5.98,5.46,Justin Knight,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1983,Small Box,0.36,2/20/2009
2745,19813,3/2/2010,Critical,29,1098.506,0.05,Regular Air,218.73,45.99,2.5,Lena Cacioppo,British Columbia,West,Home Office,Technology,Telephones and Communication,T61,Small Box,0.56,3/3/2010
2815,20322,6/28/2009,Critical,46,160.27,0.06,Regular Air,-183.36,3.58,5.47,Seth Vernon,British Columbia,West,Home Office,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37,6/30/2009
2816,20322,6/28/2009,Critical,46,4601.02,0.09,Delivery Truck,-129.53,100.98,35.84,Seth Vernon,British Columbia,West,Home Office,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Jumbo Box,0.62,6/28/2009
2817,20322,6/28/2009,Critical,15,89.89,0.1,Regular Air,-72.28,5.78,7.96,Seth Vernon,British Columbia,West,Home Office,Office Supplies,Paper,Xerox 196,Small Box,0.36,6/28/2009
2830,20422,1/26/2009,High,30,447.33,0.03,Regular Air,115.21,14.34,5,Gene Hale,British Columbia,West,Consumer,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,1/27/2009
2831,20448,8/2/2011,Critical,23,104.82,0.02,Express Air,6.84,3.69,2.5,Luke Weiss,British Columbia,West,Corporate,Office Supplies,Envelopes,Colored Envelopes,Small Box,0.39,8/3/2011
3056,21892,7/4/2010,High,6,34.88,0.06,Regular Air,-18.34,4.91,4.97,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Small Box,0.38,7/6/2010
3204,22980,10/1/2012,Not Specified,17,224.09,0,Regular Air,-27.92,12.44,6.27,Rob Haberlin,British Columbia,West,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,10/2/2012
3341,23907,7/14/2011,Not Specified,7,384.2,0.05,Regular Air,-164.46,65.99,2.5,Julie Creighton,British Columbia,West,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55,7/14/2011
3362,24064,7/25/2010,Medium,23,6366.52,0.07,Delivery Truck,935.8,297.64,14.7,Sanjit Chand,British Columbia,West,Home Office,Technology,Office Machines,Panasonic KX-P3200 Dot Matrix Printer,Jumbo Drum,0.57,7/28/2010
3382,24132,7/6/2009,Low,4,31.01,0.03,Regular Air,-4.49,6.75,2.99,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Wilson Jones DublLock® D-Ring Binders,Small Box,0.35,7/11/2009
3383,24132,7/6/2009,Low,46,331.83,0.05,Regular Air,-101.25,7.1,6.05,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,"Wilson Jones Hanging View Binder, White, 1""",Small Box,0.39,7/6/2009
3384,24132,7/6/2009,Low,22,446.46,0.04,Regular Air,-1.88,20.95,4,Justin Knight,British Columbia,West,Corporate,Technology,Computer Peripherals,"Fellowes Basic 104-Key Keyboard, Platinum",Small Box,0.6,7/11/2009
3385,24132,7/6/2009,Low,31,1252.89,0.05,Regular Air,339.75,39.06,10.55,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Ibico Recycled Linen-Style Covers,Small Box,0.37,7/13/2009
3386,24132,7/6/2009,Low,12,47.79,0.04,Regular Air,-57.75,3.52,6.83,Justin Knight,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Self-Adhesive Ring Binder Labels,Small Box,0.38,7/15/2009
3387,24132,7/6/2009,Low,3,63.84,0.02,Regular Air,-47.97,15.51,17.78,Justin Knight,British Columbia,West,Corporate,Office Supplies,Storage & Organization,"Tenex File Box, Personal Filing Tote with Lid, Black",Small Box,0.59,7/13/2009
3441,24576,12/11/2012,Not Specified,29,531.063,0.03,Regular Air,24.56,20.99,4.81,Luke Weiss,British Columbia,West,Corporate,Technology,Telephones and Communication,1726 Digital Answering Machine,Medium Box,0.58,12/13/2012
3442,24576,12/11/2012,Not Specified,10,152.84,0.05,Regular Air,38.02,14.58,7.4,Luke Weiss,British Columbia,West,Corporate,Furniture,Office Furnishings,DAX Clear Channel Poster Frame,Small Box,0.48,12/13/2012
3541,25248,12/1/2011,Medium,33,271.14,0.05,Express Air,29.21,8.33,1.99,Christina Vanderzanden,British Columbia,West,Small Business,Technology,Computer Peripherals,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Small Pack,0.52,12/3/2011
3542,25248,12/1/2011,Medium,26,1150.3,0.1,Regular Air,418.19,48.91,5.81,Christina Vanderzanden,British Columbia,West,Small Business,Office Supplies,Paper,Xerox 1891,Small Box,0.38,12/2/2011
3573,25475,4/4/2009,Critical,49,305.96,0.06,Regular Air,-191.49,6.48,7.49,Lena Cacioppo,British Columbia,West,Home Office,Office Supplies,Paper,Xerox 220,Small Box,0.37,4/4/2009
3784,26978,6/25/2010,Medium,2,48.84,0.01,Regular Air,-21.2,18.97,9.03,Seth Vernon,British Columbia,West,Home Office,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,6/26/2010
3798,27105,2/16/2011,Not Specified,37,223.74,0.01,Regular Air,39.63,5.98,2.5,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Envelopes,Wausau Papers Astrobrights® Colored Envelopes,Small Box,0.36,2/17/2011
3799,27105,2/16/2011,Not Specified,2,26.82,0,Regular Air,26.21,10.4,5.4,Sanjit Chand,British Columbia,West,Home Office,Furniture,Office Furnishings,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Small Pack,0.51,2/17/2011
3940,28068,8/26/2010,Low,23,631.99,0.08,Regular Air,-43.96,27.48,4,Julie Creighton,British Columbia,West,Corporate,Technology,Computer Peripherals,Belkin MediaBoard 104- Keyboard,Small Box,0.75,8/28/2010
4032,28802,11/4/2010,High,23,413.8,0.08,Express Air,51.36,17.67,8.99,Sanjit Chand,British Columbia,West,Home Office,Furniture,Office Furnishings,"Executive Impressions 12"" Wall Clock",Small Pack,0.47,11/6/2010
4033,28802,11/4/2010,High,36,336.25,0,Express Air,25.95,8.34,4.82,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,Small Box,0.4,11/7/2010
4034,28802,11/4/2010,High,22,4001.4685,0.02,Regular Air,884.91,205.99,3,Sanjit Chand,British Columbia,West,Home Office,Technology,Telephones and Communication,6185,Small Box,0.58,11/6/2010
4044,28839,4/28/2009,Low,30,102.95,0.06,Express Air,-175.86,3.34,7.49,Anthony Johnson,British Columbia,West,Small Business,Office Supplies,Pens & Art Supplies,"Eldon Spacemaker® Box, Quick-Snap Lid, Clear",Wrap Bag,0.54,4/30/2009
4111,29252,8/6/2009,Low,9,65.81,0.01,Regular Air,-15.44,6.48,5.19,Anthony Johnson,British Columbia,West,Small Business,Office Supplies,Paper,Xerox 1995,Small Box,0.37,8/10/2009
4488,31941,3/18/2009,Medium,32,2564.45,0.01,Express Air,650.73,78.65,13.99,Kimberly Carter,British Columbia,West,Small Business,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,Medium Box,0.52,3/19/2009
4489,31941,3/18/2009,Medium,7,53.55,0.07,Regular Air,-43.5,6.48,9.68,Kimberly Carter,British Columbia,West,Small Business,Office Supplies,Paper,Xerox 1993,Small Box,0.36,3/20/2009
4555,32418,1/5/2009,Not Specified,5,1244.19,0.08,Delivery Truck,-131.31,243.98,43.32,Marina Lichtenstein,British Columbia,West,Corporate,Furniture,Chairs & Chairmats,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Jumbo Drum,0.55,1/6/2009
4813,34241,10/8/2012,Low,4,207.55,0.08,Regular Air,16.23,52.71,2.5,Sanjit Chand,British Columbia,West,Home Office,Office Supplies,Envelopes,"Strathmore #10 Envelopes, Ultimate White",Small Box,0.36,10/8/2012
4893,34816,11/5/2010,Not Specified,29,1158.45,0.1,Regular Air,267.16,41.71,4.5,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Appliances,Fellowes 8 Outlet Superior Workstation Surge Protector,Small Box,0.56,11/5/2010
4894,34816,11/5/2010,Not Specified,43,2568.71,0.1,Regular Air,590.77,60.98,19.99,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Envelopes,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Small Box,0.38,11/7/2010
4917,35011,12/10/2012,Not Specified,14,154.45,0.09,Regular Air,-2.31,10.98,3.37,Luke Weiss,British Columbia,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,Small Pack,0.57,12/12/2012
5058,36068,2/5/2009,Critical,23,6133.18,0.06,Delivery Truck,1243.17,279.81,23.19,Anthony Johnson,British Columbia,West,Small Business,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Jumbo Drum,0.59,2/6/2009
5196,36930,9/28/2011,Medium,34,2632.4755,0.01,Regular Air,1325.82,85.99,3.3,Michelle Arnett,British Columbia,West,Home Office,Technology,Telephones and Communication,Accessory20,Small Pack,0.37,9/30/2011
5245,37315,6/5/2012,Low,43,170.81,0.1,Regular Air,-133.68,4.28,5.17,Luke Weiss,British Columbia,West,Corporate,Office Supplies,Paper,Xerox 1971,Small Box,0.4,6/12/2012
5246,37315,6/5/2012,Low,31,4726.595,0.05,Express Air,1176.48,175.99,4.99,Luke Weiss,British Columbia,West,Corporate,Technology,Telephones and Communication,5165,Small Box,0.59,6/12/2012
5340,37925,9/26/2010,Medium,46,3780.16,0.1,Delivery Truck,1265.82,90.97,14,Luke Weiss,British Columbia,West,Corporate,Technology,Office Machines,Lexmark Z54se Color Inkjet Printer,Jumbo Drum,0.36,9/27/2010
5341,37925,9/26/2010,Medium,31,1784.048,0.05,Regular Air,394.45,65.99,3.99,Luke Weiss,British Columbia,West,Corporate,Technology,Telephones and Communication,StarTAC 7760,Small Box,0.59,9/27/2010
5351,38021,1/21/2009,Medium,46,1482.01,0.02,Regular Air,709.33,30.44,1.49,Rob Haberlin,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,"Premier Elliptical Ring Binder, Black",Small Box,0.37,1/23/2009
5389,38336,10/5/2012,Critical,14,91.75,0.07,Regular Air,2.82,6.75,2.99,Julie Creighton,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,Wilson Jones DublLock® D-Ring Binders,Small Box,0.35,10/6/2012
5390,38336,10/5/2012,Critical,31,346.57,0,Regular Air,-116.45,10.97,6.5,Julie Creighton,British Columbia,West,Corporate,Technology,Computer Peripherals,Micro Innovations 104 Keyboard,Small Box,0.64,10/6/2012
5430,38565,3/25/2009,Critical,20,234.09,0.01,Express Air,-11.69,10.64,5.16,Justin Knight,British Columbia,West,Corporate,Furniture,Office Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Small Box,0.57,3/27/2009
5615,39783,9/20/2012,Not Specified,19,82.43,0.04,Regular Air,-94.76,4.06,6.89,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Small Box,0.6,9/22/2012
5616,39783,9/20/2012,Not Specified,31,295.97,0.02,Regular Air,5.02,8.85,5.6,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Binders and Binder Accessories,GBC Standard Plastic Binding Systems Combs,Small Box,0.36,9/22/2012
5617,39783,9/20/2012,Not Specified,29,94.5,0.02,Regular Air,39.9,3.15,0.5,Sally Knutson,British Columbia,West,Corporate,Office Supplies,Labels,Avery 520,Small Box,0.37,9/21/2012
5997,42500,2/5/2010,Not Specified,39,1836.06,0.04,Regular Air,437.07,48.92,4.5,Michelle Arnett,British Columbia,West,Home Office,Office Supplies,Appliances,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Small Box,0.59,2/7/2010
5998,42500,2/5/2010,Not Specified,2,21.03,0.03,Regular Air,-10.48,8.69,2.99,Michelle Arnett,British Columbia,West,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2/7/2010
6233,44162,3/19/2010,High,46,507.64,0.04,Regular Air,42.76,10.98,3.37,Julie Creighton,British Columbia,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars® Softgrip Scissors,Small Pack,0.57,3/20/2010
